Country,Year,Emission,Category,Energy
United States of America,1990,6397144.49,Gas (Co2 Equivilent),
United States of America,1990,5115095.047,Carbon Dioxide ,89235.91227
United States of America,1990,773854.8964,Methane (Co2 Equivilent),
United States of America,1990,406228.5266,Nitrogen Oxide (Co2 Equivilent),
United States of America,1990,46288.81418,Hydrofluorocarbons (Co2 Equivilent),
United States of America,1990,31080.40616,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,1990,24255.67154,Perfluorocarbons (Co2 Equivilent),
United States of America,1990,47.92157567,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,1991,6330937.886,Gas (Co2 Equivilent),
United States of America,1991,5064879.75,Carbon Dioxide ,88264.18122
United States of America,1991,777034.2209,Methane (Co2 Equivilent),
United States of America,1991,396113.6569,Nitrogen Oxide (Co2 Equivilent),
United States of America,1991,41618.41359,Hydrofluorocarbons (Co2 Equivilent),
United States of America,1991,29764.56341,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,1991,20912.45784,Perfluorocarbons (Co2 Equivilent),
United States of America,1991,47.92157567,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,1992,6448677.154,Gas (Co2 Equivilent),
United States of America,1992,5170274.35,Carbon Dioxide ,88732.2015
United States of America,1992,776869.7898,Methane (Co2 Equivilent),
United States of America,1992,404052.1071,Nitrogen Oxide (Co2 Equivilent),
United States of America,1992,47427.66218,Hydrofluorocarbons (Co2 Equivilent),
United States of America,1992,29949.8213,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,1992,19481.08704,Perfluorocarbons (Co2 Equivilent),
United States of America,1992,47.92157567,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,1993,6566415.856,Gas (Co2 Equivilent),
United States of America,1993,5284758.62,Carbon Dioxide ,89697.59438
United States of America,1993,764089.6713,Methane (Co2 Equivilent),
United States of America,1993,420503.1909,Nitrogen Oxide (Co2 Equivilent),
United States of America,1993,47500.26227,Hydrofluorocarbons (Co2 Equivilent),
United States of America,1993,29432.6522,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,1993,19484.61779,Perfluorocarbons (Co2 Equivilent),
United States of America,1993,59.90196958,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,1994,6650296.595,Gas (Co2 Equivilent),
United States of America,1994,5377492.217,Carbon Dioxide ,90423.52704
United States of America,1994,770450.4261,Methane (Co2 Equivilent),
United States of America,1994,402478.9305,Nitrogen Oxide (Co2 Equivilent),
United States of America,1994,53246.65497,Hydrofluorocarbons (Co2 Equivilent),
United States of America,1994,28004.24735,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,1994,17965.00396,Perfluorocarbons (Co2 Equivilent),
United States of America,1994,65.89216654,Nitrogen Trifluoride (Co2 Equivilent),
United States of America,1995,6748528.926,Gas (Co2 Equivilent),
United States of America,1995,5441599.23,Carbon Dioxide ,91348.35587
United States of America,1995,767943.4057,Methane (Co2 Equivilent),
United States of America,1995,420585.7486,Nitrogen Oxide (Co2 Equivilent),
United States of America,1995,71273.92591,Hydrofluorocarbons (Co2 Equivilent),
United States of America,1995,26638.1737,Sulphur Hexafluoride (Co2 Equivilent),
United States of America,1995,18640.47345,Perfluorocarbons (Co2 Equivilent),
